,name,category,rating,rating_count,price,discount
0,THE MAN COMPANY Black perfume Eau de Toilette  -  50 ml,For Men,3.9,"1,12,617",â‚¹294,77% off
1,BELLAVITA Luxury Unisex Perfume Gift Set - 4x20 ML Eau ...,For Men & Women,4.4,"1,75,720",â‚¹499,41% off
2,BLA BLI BLU Old Money Perfume for Men|Apple & Cedar Not...,For Men,4.3,"2,415",â‚¹222,19% off
3,Wildplay Chocolate Pure Original Perfume  -  30 ml,For Men & Women,4,"1,453",â‚¹125,58% off
4,BELLAVITA DATE perfume & SENORITA perfume combo|2X20ML|...,For Women,4.4,"2,07,001",â‚¹199,73% off
5,BELLAVITA Luxury Perfume Gift Set with Long Lasting Fra...,For Women,4.5,"81,504",â‚¹499,41% off
6,BELLAVITA Beast Mode Perfume Collection for Men (3x20ML...,For Men,4.2,"1,110",â‚¹599,25% off
7,PARK AVENUE Oud Eau De Parfum for Men â€“ Long Lasting Lu...,For Men,,,â‚¹253,74% off
8,PARK AVENUE Amazon Woods Eau de Parfum  -  120 ml,For Men,4.2,"44,091",â‚¹198,43% off
9,BLA BLI BLU Love Drunk Perfume for Men & Women|Cinnamon...,For Men & Women,4.3,"2,721",â‚¹222,19% off
10,THE MAN COMPANY Perfume for Men Gift Set - 4*20ml | A G...,For Men,4.2,"3,593",â‚¹279,71% off
11,DJOKR Perfume Combo for Men (2 x 20ml) Marine & Signatu...,For Men,4.1,"8,924",â‚¹159,29% off
12,BELLAVITA CEO MAN perfume & WHITE OUD perfume combo| Ci...,For Men & Women,4.3,"4,81,887",â‚¹199,73% off
13,"BELLAVITA ELITE MAN perfume with Citrus, Aromatic & Woo...",For Men,4.2,"6,539",â‚¹299,76% off
14,Kenaz Oud Ameer Luxury Perfume for Men & Women| Amber O...,For Men & Women,4.1,943,â‚¹499,
15,AGN Tulip Perfume - LONG LASTING Eau de Parfum  -  150 ...,For Men & Women,4.3,"16,797",â‚¹280,24% off
16,BELLAVITA GRACE Perfume for Women|Floral & Fruity Notes...,For Women,4.3,232,â‚¹299,76% off
17,BERGAMOT BEAUTE VALENTINE Perfume and MI AMOR Luxury Gi...,For Women,4.3,"3,421",â‚¹189,72% off
18,BRUT Original Perfume Eau De Toilette Eau de Toilette  ...,For Men & Women,,,â‚¹525,34% off
19,BLA BLI BLU Old Money Perfume for Men|Apple & Cedar Not...,For Men,4.4,439,â‚¹720,28% off
20,"THE MAN COMPANY Iconic Perfumes, Black and Blanc EDT 3 ...",For Men,3.9,"9,442",â‚¹624,82% off
21,"DJOKR Perfume Gift Set Pack of 4x20 ML , Premium Luxury...",For Men,4.1,"31,342",â‚¹289,65% off
22,BELLAVITA DATE WOMAN & GLAM WOMAN perfume combo|2X20ML|...,For Women,4.4,"76,929",â‚¹198,76% off
23,"BELLAVITA CEO MAN Eau De Parfum,Long Lasting Notes of T...",For Men,4.2,"57,749",â‚¹449,50% off
24,BELLAVITA WHITE OUD perfume & HONEY OUD perfume combo|2...,For Men & Women,4.4,"1,22,967",â‚¹198,77% off
25,BELLAVITA FRESH perfume & SKAI AQUATIC perfume combo|2X...,For Men & Women,4.4,"1,72,050",â‚¹199,73% off
26,THE MAN COMPANY Night | Long Lasting Perfume  -  50 ml,For Men,4.1,"18,454",â‚¹149,80% off
27,RONZILLE Ruby For Her Eau De Perfume Eau de Parfum  -  ...,For Women,4.2,"9,129",â‚¹127,68% off
28,Fien by mCaffeine Written By Women | Perfume Gift Set| ...,For Men,4.2,"3,092",â‚¹539,40% off
29,BELLAVITA Fresh Eau De Toilette Unisex Perfume with Ber...,For Men & Women,4.3,"24,895",â‚¹465,48% off
30,VOKKA Desert Oud & Arabian Stories 200 ml | Pack of 2 x...,For Men & Women,4,912,â‚¹403,79% off
31,BRIT ACCENT Men's Luxury Parfum Gift Set|4 x 20ml EDP|B...,For Men,4,"7,563",â‚¹208,73% off
32,SKINN by TITAN Raw - Single Pack Eau de Parfum  -  20 m...,For Men,4.2,"36,295",â‚¹595,14% off
33,"adiic Fuego CÃ­trico Perfume for Men & Women, Fruity Flo...",For Men & Women,,,â‚¹570,62% off
34,"BELLAVITA White Oud ,Long Lasting,Unisex Eau de Parfum ...",For Men & Women,4.3,"68,729",â‚¹549,45% off
35,BELLAVITA SKAI AQUATIC Perfume For Men & Women with Mus...,For Men & Women,4.3,"33,400",â‚¹485,30% off
36,Plum BodyLovin' Vanilla Vibes | Long Lasting Vanilla Fr...,For Men & Women,4.4,"1,242",â‚¹599,25% off
37,OSSA Magnet Apparel Perfume Unisex With Oriental Notes ...,For Men & Women,4.2,"7,028",â‚¹228,20% off
38,PATEL NECK 50 ML UNISEX APPAREL PERFUME Perfume  -  50 ...,For Men & Women,4.4,"5,248",â‚¹385,30% off
39,"BELLAVITA Honey OUD with Honey, Floral & Oud Scent ,EDP...",For Men & Women,4.4,"23,191",â‚¹549,45% off
40,THE MAN COMPANY Black perfume Eau de Toilette  -  50 ml,For Men,3.9,"1,12,617",â‚¹294,77% off
41,BELLAVITA Luxury Unisex Perfume Gift Set - 4x20 ML Eau ...,For Men & Women,4.4,"1,75,720",â‚¹499,41% off
42,RIYA Poizo Perfume | Hearty Rose Notes| Long Lasting Fr...,For Men & Women,4.2,"8,023",â‚¹257,39% off
43,"Arabian Aroma Seduction Perfume for Men, Unique, Best, ...",For Men,4.1,"12,245",â‚¹338,57% off
44,Renee Bloom Eau de Parfum  -  50 ml,For Women,4.3,"12,184",â‚¹499,16% off
45,Envy Blue Luxury Perfume Gift Set (20 ml x 4) Eau de Pa...,For Men & Women,4.3,"18,958",â‚¹306,56% off
46,BELLAVITA Luxury Perfume Gift Set with Long Lasting Fra...,For Women,4.5,"81,504",â‚¹499,41% off
47,THE MAN COMPANY Perfume for Men Gift Set - 4*20ml | A G...,For Men,4.2,"3,593",â‚¹279,71% off
48,BOMBAY SHAVING COMPANY Mexico Perfume| Premium Fragranc...,For Men,4.1,"11,318",â‚¹237,70% off
49,"BELLAVITA Date Perfum Notes of Pink Pepper, Red Fruits ...",For Women,4.5,"19,200",â‚¹549,45% off
50,DJOKR Perfume Combo for Men (2 x 20ml) Marine & Signatu...,For Men,4.1,"8,924",â‚¹159,29% off
51,BERGAMOT BEAUTE VALENTINE Perfume and MI AMOR Luxury Gi...,For Women,4.3,"3,421",â‚¹189,72% off
52,BELLAVITA NIGHT FEVER perfume for Men & Women|Citrusy &...,For Men & Women,4.3,"9,176",â‚¹399,55% off
53,RIYA Born Rich Apparel Perfume | Fresh Long Lasting Fra...,For Men,4.2,"11,369",â‚¹277,39% off
54,FORMLESS Rajani Gandha Spray Perfume  -  100 ml,For Men & Women,4,"1,663",â‚¹211,64% off
55,RAMSONS REDZX. Eau de Parfum  -  100 ml,For Men & Women,4.2,"5,563",â‚¹286,32% off
56,BELLAVITA GRACE Perfume for Women|Floral & Fruity Notes...,For Women,4.3,232,â‚¹299,76% off
57,"THE MAN COMPANY Iconic Perfumes, Black and Blanc EDT 3 ...",For Men,3.9,"9,442",â‚¹624,82% off
58,VILLAIN HYDRA LUXURY PERFUME FOR MEN 100ML Eau de Parfu...,For Men,4.2,"12,693",â‚¹349,56% off
59,BELLAVITA KLUB MAN perfume & HONEY OUD perfume combo|2X...,For Men & Women,4.3,"24,578",â‚¹199,77% off
60,"DJOKR Perfume Gift Set Pack of 4x20 ML , Premium Luxury...",For Men,4.1,"31,342",â‚¹289,65% off
61,RONZILLE Ruby For Her Eau De Perfume Eau de Parfum  -  ...,For Women,4.2,"9,129",â‚¹127,68% off
62,Aqua Red Original Long Lasting Fresh & Soothing Fragran...,For Men,4.2,"4,168",â‚¹302,49% off
63,BELLAVITA NARCO Perfume & NIGHT FEVER Perfume combo|2X2...,For Men & Women,4.2,"10,387",â‚¹199,75% off
64,VILLAIN Hydra Perfume | Long Lasting EDP | Aquatic & Ci...,For Men,4.1,"6,358",â‚¹349,56% off
65,RIYA Born Rich Apparel Perfume | Lavender Bergamot Fres...,For Men,4.3,"6,599",â‚¹255,40% off
66,THE MAN COMPANY Night | Long Lasting Perfume  -  50 ml,For Men,4.1,"18,454",â‚¹149,80% off
67,SKINN by TITAN Raw - Single Pack Eau de Parfum  -  20 m...,For Men,4.2,"36,295",â‚¹595,14% off
68,"HP Aromani Elegant fruity, floral scent | Perfect for F...",For Men & Women,4.3,"1,476",â‚¹236,46% off
